Emitten, DER,Operating Profit Margin,ROA,Sales Growth
AGRO,7.15,110.5129503,-0.09,-185.032137
BBCA,4.88,984.5625988,0.03,-1485.583
BBHI,4.36,0.122580674,0.01,121.8580899
BBKP,10.03,56.90089514,-0.01,-1445.75
BBMD,2.90,25.00227592,0.03,61.5454751
BBNI,6.52,790.5351928,0.01,-4246.426
BBRI,4.78,1043.240932,0.01,6531.747
BBSI,0.49,0.269026929,0.04,22.55646717
BBTN,15.82,218.4573561,0.01,129.291
BBYB,6.31,3.922798839,-0.04,167.3732876
BCIC,11.53,52.31315789,-0.02,-24.753
BEKS,4.17,17.73977165,-0.03,-93.899
BJBR,11.34,259.5426513,0.01,649.269
BJTM,8.42,215.7843662,0.02,424.496
BKSW,3.82,110.2022495,-0.02,-309.781
BMRI,5.91,2143.12025,0.01,7034.205
BNBA,3.49,0.361939939,0.01,-81.85642106
BNGA,5.49,710.2705373,0.01,-1001.648
BNII,4.50,64.46326531,0.01,-1690.584
BNLI,5.07,22.41592814,0.01,263.701
BTPN,3.94,390.3372123,0.01,-1667.699
BTPS,0.36,74.46883943,0.08,567.248
MASB,7.90,8.795872752,0.01,-2756.119855
MEGA,5.54,179.2985033,0.03,335.8793442
NISP,5.64,477.0781305,0.01,-1059.743
PNBN,3.16,472.7519480,0.02,-1195.535
SDRA,3.68,63.26626506,0.01,29.416
